,id,img_name,Tshirt_beige,Tshirt_black,Tshirt_blue,Tshirt_brown,Tshirt_gray,Tshirt_green,Tshirt_orange,Tshirt_pink,Tshirt_purple,Tshirt_red,Tshirt_white,Tshirt_yellow,bag_beige,bag_black,bag_blue,bag_brown,bag_gray,bag_green,bag_orange,bag_pink,bag_purple,bag_red,bag_white,bag_yellow,belt_beige,belt_black,belt_blue,belt_brown,belt_gray,belt_green,belt_orange,belt_pink,belt_purple,belt_red,belt_white,belt_yellow,blazer_beige,blazer_black,blazer_blue,blazer_brown,blazer_gray,blazer_green,blazer_orange,blazer_pink,blazer_purple,blazer_red,blazer_white,blazer_yellow,blouse_beige,blouse_black,blouse_blue,blouse_brown,blouse_gray,blouse_green,blouse_orange,blouse_pink,blouse_purple,blouse_red,blouse_white,blouse_yellow,coat_beige,coat_black,coat_blue,coat_brown,coat_gray,coat_green,coat_orange,coat_pink,coat_purple,coat_red,coat_white,coat_yellow,dress_beige,dress_black,dress_blue,dress_brown,dress_gray,dress_green,dress_orange,dress_pink,dress_purple,dress_red,dress_white,dress_yellow,hat_beige,hat_black,hat_blue,hat_brown,hat_gray,hat_green,hat_orange,hat_pink,hat_purple,hat_red,hat_white,hat_yellow,jeans_beige,jeans_black,jeans_blue,jeans_brown,jeans_gray,jeans_green,jeans_orange,jeans_pink,jeans_purple,jeans_red,jeans_white,jeans_yellow,legging_beige,legging_black,legging_blue,legging_brown,legging_gray,legging_green,legging_orange,legging_pink,legging_purple,legging_red,legging_white,legging_yellow,pants_beige,pants_black,pants_blue,pants_brown,pants_gray,pants_green,pants_orange,pants_pink,pants_purple,pants_red,pants_white,pants_yellow,scarf_beige,scarf_black,scarf_blue,scarf_brown,scarf_gray,scarf_green,scarf_orange,scarf_pink,scarf_purple,scarf_red,scarf_white,scarf_yellow,shoe_beige,shoe_black,shoe_blue,shoe_brown,shoe_gray,shoe_green,shoe_orange,shoe_pink,shoe_purple,shoe_red,shoe_white,shoe_yellow,shorts_beige,shorts_black,shorts_blue,shorts_brown,shorts_gray,shorts_green,shorts_orange,shorts_pink,shorts_purple,shorts_red,shorts_white,shorts_yellow,skirt_beige,skirt_black,skirt_blue,skirt_brown,skirt_gray,skirt_green,skirt_orange,skirt_pink,skirt_purple,skirt_red,skirt_white,skirt_yellow,socks_beige,socks_black,socks_blue,socks_brown,socks_gray,socks_green,socks_orange,socks_pink,socks_purple,socks_red,socks_white,socks_yellow,stocking_beige,stocking_black,stocking_blue,stocking_brown,stocking_gray,stocking_green,stocking_orange,stocking_pink,stocking_purple,stocking_red,stocking_white,stocking_yellow,sunglass_beige,sunglass_black,sunglass_blue,sunglass_brown,sunglass_gray,sunglass_green,sunglass_orange,sunglass_pink,sunglass_purple,sunglass_red,sunglass_white,sunglass_yellow,sweater_beige,sweater_black,sweater_blue,sweater_brown,sweater_gray,sweater_green,sweater_orange,sweater_pink,sweater_purple,sweater_red,sweater_white,sweater_yellow
0,0,32160.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.420332475595311,,,,,,,,,,,,,,,,,,,,0.463382755381285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116284769023404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0A,169304.jpg,,,,,,,,,,,0.26255307776820974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07684770021082638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3711138165513555,,,,,,,,,,,,,,,0.2894854054696083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0B,100221.jpg,,,,,,,,,,,0.36084660164231463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06750452985851421,,,,,,,,,,,,,,,,,,,,,,,0.5716488684991712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0C,102919.jpg,,,,,,,,,,,,,0.272845200345921,,,,,,,,,,,,,,,,,,,,,0.017280035873290415,,,,,,,,,,,,,,,,,,,,,,,,,0.03318279363249095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3573876557445309,,,,,,,,,,,,,,,,,,,,,0.0514877806604529,,,,,0.0513756766279107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2164408571154031,,,,,,,
4,0D,134447.jpg,,,,,,,,,,,,,,,,,,,,,0.052984998469231555,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2584549443820798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0801102153280947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5731401163384019,,,,,,,,,,,,,,,,,0.03530972548219206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0E,103419.jpg,,,,,,,,,,,,,,0.11935693406950308,,,,,,,,,,,,,,,,,,,,,,,,,,0.11786294251380318,,,,,,,,,,0.3109451120493667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3994153946086392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052419616758687886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0F,169934.jpg,,,,,,,,,,,,,,0.09340122199592668,,,,,,,,,,,,0.045947046843177186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25331975560081466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05873727087576375,,,,,,,,,,,,,,,,,,,,,,,,,0.5230549898167006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025539714867617108,,,,,,,,,,,,,,,,,,,,,,
7,0G,180677.jpg,,,,,,,,,,,,,,0.028729414593100133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22677004447649957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10728452939055175,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6372160115398485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0H,86159.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3342391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,0.08251463210702341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10252926421404682,,,,,,,,,,,,,,0.48071697324414714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0I,38182.jpg,,,,,,,,,,,0.0588100947813178,,,,,,,,,,,,,,,0.049484222146092646,,,,,,,,,,,,,,,,,,,,,,,,,0.40226866126146704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08705416619085683,,,,,,,,,,,0.4023828556202657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
